Panel_Brightness,Color_Gamut,Defect_Count,Contrast_Ratio,Lifetime,Panel_Grade
510,110,1,1166.7,1000,B
490,100,1,1166.7,1000,C
470,104,1,1166.7,1000,C
460,102,2,1166.7,2000,C
500,112,1,1166.7,1000,B
540,118,2,1500,2000,A
460,108,1,1333.3,1000,C
500,108,2,1166.7,2000,B
440,98,1,1166.7,1000,C
490,102,2,1000,2000,C
540,114,2,1166.7,2000,B
480,108,2,1166.7,2000,C
480,100,1,1000,1000,C
430,100,0,1000,0,C
580,120,1,1166.7,1000,A
570,128,2,1500,2000,A
540,118,1,1500,1000,A
510,110,1,1333.3,1000,B
570,116,2,1333.3,2000,A
510,116,2,1333.3,2000,B
540,108,2,1166.7,2000,B
510,114,2,1500,2000,B
460,112,0,1166.7,0,B
510,106,2,1666.7,2000,B
480,108,3,1166.7,3000,C
500,100,2,1166.7,2000,C
500,108,2,1500,2000,B
520,110,2,1166.7,2000,B
520,108,1,1166.7,1000,B
470,104,2,1166.7,2000,C
480,102,2,1166.7,2000,C
540,108,2,1500,2000,B
520,122,2,1000,2000,A
550,124,1,1166.7,1000,A
490,102,2,1166.7,2000,C
500,104,1,1166.7,1000,C
550,110,1,1166.7,1000,B
490,112,1,1000,1000,B
440,100,1,1166.7,1000,C
510,108,2,1166.7,2000,B
500,110,1,1333.3,1000,B
450,86,1,1333.3,1000,C
440,104,1,1166.7,1000,C
500,110,2,1833.3,2000,B
510,116,3,1500,3000,B
480,100,1,1333.3,1000,C
510,116,2,1166.7,2000,B
460,104,1,1166.7,1000,C
530,114,2,1166.7,2000,B
500,106,1,1166.7,1000,B
700,104,13,3166.7,13000,A
640,104,12,3333.3,12000,A
690,102,13,3333.3,13000,A
550,86,10,3000,10000,C
650,96,12,3333.3,12000,B
570,96,12,3000,12000,C
630,106,13,3500,13000,A
490,88,8,2500,8000,C
660,98,12,3000,12000,B
520,94,10,3166.7,10000,C
500,80,8,2500,8000,C
590,100,11,3333.3,11000,B
600,84,10,2500,10000,C
610,98,13,3166.7,13000,B
560,98,9,3000,9000,B
670,102,12,3166.7,12000,A
560,100,12,3333.3,12000,B
580,94,11,2500,11000,C
620,84,12,3333.3,12000,C
560,90,10,2666.7,10000,C
590,104,13,3833.3,13000,A
610,96,10,3000,10000,B
630,90,13,3333.3,13000,C
610,96,13,2833.3,13000,C
640,98,11,3000,11000,B
660,100,12,3166.7,12000,A
680,96,13,3166.7,13000,B
670,100,14,3666.7,14000,A
600,98,12,3333.3,12000,B
570,92,8,2500,8000,C
550,88,9,2666.7,9000,C
550,88,9,2500,9000,C
580,94,10,2833.3,10000,C
600,94,14,3500,14000,C
540,100,12,3333.3,12000,C
600,108,12,3500,12000,A
670,102,13,3333.3,13000,A
630,86,12,3000,12000,C
560,100,11,3000,11000,B
550,90,10,3000,10000,C
550,92,12,2833.3,12000,C
610,100,12,3166.7,12000,B
580,92,10,2833.3,10000,C
500,86,8,2500,8000,C
560,94,11,3000,11000,C
570,100,11,2833.3,11000,C
570,98,11,3000,11000,C
620,98,11,3000,11000,B
510,90,7,2666.7,7000,C
570,96,11,3000,11000,C
630,106,17,5000,17000,A
580,94,14,4000,14000,B
710,100,17,4333.3,17000,A
630,98,16,3833.3,16000,B
650,100,16,4500,16000,A
760,100,19,4333.3,19000,A
490,90,12,3666.7,12000,C
730,98,18,3833.3,18000,A
670,90,16,3833.3,16000,B
720,112,17,5000,17000,A
650,104,14,4166.7,14000,A
640,94,15,4000,15000,B
680,100,15,4333.3,15000,A
570,90,14,4166.7,14000,C
580,96,14,4833.3,14000,A
640,104,15,4666.7,15000,A
650,100,15,3833.3,15000,A
770,116,19,4500,19000,A
770,92,20,4666.7,20000,A
600,84,14,3333.3,14000,C
690,104,16,4666.7,16000,A
560,96,13,4166.7,13000,B
770,96,19,4166.7,19000,A
630,94,13,3833.3,13000,B
670,106,16,4333.3,16000,A
720,104,17,3833.3,17000,A
620,96,13,3833.3,13000,B
610,100,13,3833.3,13000,A
640,96,16,4333.3,16000,B
720,100,16,3500,16000,A
740,96,17,4000,17000,A
790,116,18,4166.7,18000,A
640,96,16,4500,16000,A
630,96,14,3333.3,14000,B
610,92,16,3166.7,16000,C
770,100,17,4666.7,17000,A
630,108,16,4833.3,16000,A
640,102,15,3833.3,15000,A
600,100,13,3833.3,13000,B
690,102,15,4333.3,15000,A
670,102,16,4833.3,16000,A
690,102,14,4666.7,14000,A
580,94,14,4000,14000,B
680,104,17,4666.7,17000,A
670,106,16,5000,16000,A
670,100,14,4666.7,14000,A
630,90,14,4000,14000,B
650,100,14,4166.7,14000,A
620,108,15,4666.7,15000,A
590,100,14,3833.3,14000,B
