Panel_Type,Production_Line,Panel_Brightness,Response_Time,Lifetime,Power_Consumption,QC_Status,Production_Quarter
OLED,Line_C,3910,1.87,18100,3750,Fail,2023_Q2
OLED,Line_C,3950,1.74,18600,3800,Pass,2023_Q2
OLED,Line_C,4030,1.8,19500,3250,Pass,2023_Q2
OLED,Line_C,,,,,,2023_Q2
OLED,Line_C,3670,1.93,19300,3450,Pass,2023_Q2
OLED,Line_C,3930,2.06,19000,3650,Fail,2023_Q2
OLED,Line_C,3890,1.78,18100,3625,Pass,2023_Q2
OLED,Line_C,3920,1.96,19500,4675,Fail,2023_Q2
OLED,Line_C,3410,1.81,19300,3475,,2023_Q2
OLED,Line_C,4200,2.02,19000,4250,,2023_Q2
OLED,Line_C,3780,1.71,18600,3300,,2023_Q2
OLED,Line_C,3780,1.73,18000,3700,,2023_Q2
OLED,Line_C,4110,1.76,18200,3200,Pass,2023_Q2
OLED,Line_C,3860,2.12,19100,3800,Fail,2023_Q2
OLED,Line_C,3460,2.11,19800,4400,Fail,2023_Q2
OLED,Line_C,3660,1.78,18500,3700,Pass,2023_Q2
OLED,Line_C,3870,1.9,19500,3450,Pass,2023_Q2
OLED,Line_C,4250,2.07,19700,4500,Fail,2023_Q2
OLED,Line_C,3440,1.84,18400,3325,Pass,2023_Q2
OLED,Line_C,4600,2.15,19400,4200,Fail,2023_Q2
OLED,Line_A,3780,1.83,17400,3400,Pass,2023_Q2
OLED,Line_A,3770,1.87,18000,3600,Fail,2023_Q2
OLED,Line_A,3590,1.92,18900,3800,Pass,2023_Q2
OLED,Line_A,3820,1.81,18500,3950,Fail,2023_Q2
OLED,Line_A,3880,1.72,18000,3800,Fail,2023_Q2
OLED,Line_A,3530,1.89,18700,3800,Pass,2023_Q2
OLED,Line_A,4060,1.86,18300,3550,Fail,2023_Q2
OLED,Line_A,4050,1.79,18700,3200,Pass,2023_Q2
OLED,Line_A,3790,1.86,17200,3150,Pass,2023_Q2
OLED,Line_A,4050,1.89,18000,3950,Fail,2023_Q2
OLED,Line_B,3950,1.67,17800,3250,Pass,2023_Q2
OLED,Line_B,3720,1.81,17800,3900,Fail,2023_Q2
OLED,Line_B,3950,1.78,18800,3300,Pass,2023_Q2
OLED,Line_B,4090,1.89,18400,3900,Fail,2023_Q2
OLED,Line_B,3640,1.7,19500,3325,Pass,2023_Q2
OLED,Line_B,3920,2.11,19600,4150,Fail,2023_Q2
